chapter,title,text
CHAPTER 51 - STANDARD PRACTICES AND STRUCTURES - GENERAL,CORROSION AND CORROSION CONTROL - GENERAL,"2.
Types of Corrosion
A.
Direct Surface Attack.
(1)
The most common type of general surface corrosion results from direct reaction of a metal
surface with oxygen in the atmosphere. Unless properly protected, steel will rust and aluminum
and magnesium will form oxides. The attack may be accelerated by salt spray or salt bearing
air, by industrial gasses, or by engine exhaust gasses.
B.
Pitting.
(1)
While pitting can occur in any metal, it is particularly characteristic of passive materials such
as alloys of aluminum, nickel, and chromium. It is rst noticeable as a white or gray powdery
deposit similar to dust, which blotches the surface. When the deposits are cleaned away, tiny
pits can be seen in the surface.
C.
Dissimilar Metal Corrosion.
(1)
When two dissimilar metals are in contact and are connected by an electrolyte (continuous liquid
or gas path), accelerated corrosion of one of the metals occurs. The most easily oxidized surface
becomes the anode and corrodes. The less active member of the couple becomes the cathode
of the galvanic cell. The degree of attack depends on the relative activity of the two surfaces; the
greater the difference in activity, the more severe the corrosion. Relative activity in descending
order is as follows:
(a)
Magnesium and its alloys.
(b)
Aluminum alloys 1100, 3003, 5052, 6061, 220, 355, 356, cadmium, and zinc.
(c)
Aluminum alloys 2014, 2017, 2024, and 7075.
(d)
Iron, lead, and their alloys (except stainless steel).
(e)
Stainless steels, titanium, chromium, nickel, copper, and their alloys.
(f)
Graphite (including dry lm lubricants containing graphite).
D.
Intergranular Corrosion.
(1)
Selective attack along the grain boundaries in metal alloys is referred to as intergranular
corrosion. It results from lack of uniformity in the alloy structure. It is particularly characteristic
of precipitation hardened alloys of aluminum and some stainless steels. Aluminum extrusions
and forgings in general may contain nonuniform areas, which in turn may result in galvanic
attack along the grain boundaries. When attack is well advanced, the metal may blister or
delaminate which is referred to as exfoliation.
E.
Stress Corrosion.
(1)
This results from the combined effect of static tensile stresses applied to a surface over
a period of time.
In general, cracking susceptibility increases with stress, particularly at
stresses approaching the yield point, and with increasing temperature, exposure time, and
concentration of corrosive ingredients in the surrounding environment. Examples of parts which
are susceptible to stress corrosion cracking are aluminum alloy bell cranks, landing gear shock
struts with pipe thread-type grease ttings, clevis points, and shrink ts.
F.
Corrosion Fatigue.
(1)
This is a type of stress corrosion resulting from the cyclic stresses on a metal in corrosive
surroundings. Corrosion may start at the bottom of a shallow pit in the stressed area. Once
attack begins, the continuous exing prevents repair of protective surface coating or oxide lms
and additional corrosion takes place in the area of stress."
CHAPTER 51 - STANDARD PRACTICES AND STRUCTURES - GENERAL,CORROSION AND CORROSION CONTROL - GENERAL,"3.
Typical Corrosion Areas
A.
This section lists typical areas of the airplane which are susceptible to corrosion. These areas should
be carefully inspected at periodic intervals to detect corrosion as early as possible.
(1)
Engine Exhaust Trail Areas.
(a)
Gaps, seams, and fairings on the lower fuselage, aft of the engine exhaust pipe(s) are
typical areas where deposits may be trapped and not reached by normal cleaning methods.
(b)
Around rivet heads, skin laps and inspection covers on the airplane lower fuselage aft of
the engine exhaust pipe(s) should be carefully cleaned and inspected.
(2)
Battery Box and Battery Vent Opening.
(a)
The battery, battery cover, battery box, and adjacent areas, especially areas below the
battery box where battery electrolyte may have seeped, are particularly subject to corrosive
action. If spilled battery electrolyte is neutralized and cleaned up at the same time of
spillage, corrosion can be held to a minimum by using a baking soda solution to neutralize
the lead acid-type battery electrolyte. If baking soda is not available, ood the area with
water.
(3)
Stainless Steel control cables.
(a)
Checking for corrosion on control cables is normally accomplished during the preventative
maintenance check. During preventative maintenance, broken wire and wear of the control
cable is also checked.
(b)
If the surface of the cable is corroded, carefully force the cable open by reverse twisting
and visually inspect the interior. Corrosion on the interior strands of the cable constitutes
failure and the cable must be replaced. If no internal corrosion is detected, remove loose
external rust and corrosion with a clean, dry, coarse-weave rag or ber brush.
NOTE:
Do not use metallic wools or solvents to clean installed cables. Use of metallic
wool will embed dissimilar metal particles in the cables and create further
corrosion. Solvents will remove internal cable lubricant, allowing cable strands
to abrade and further corrode.
(c)
After thorough cleaning of the exterior cable surface, apply a light coat of lubricant (VV-L-
800) to the external cable surface."
CHAPTER 51 - STANDARD PRACTICES AND STRUCTURES - GENERAL,CORROSION AND CORROSION CONTROL - GENERAL,"4.
Corrosion Detection
A.
The primary means of corrosion detection is visual, but in situations where visual inspection is not
feasible, other techniques must be used. The use of liquid dye penetrants, magnetic particle, X-ray,
and ultrasonic devices can be used, but most of these sophisticated techniques are intended for the
detection of physical aws within metal objects rather than the detection of corrosion.
(1)
Visual Inspection.
(a)
A visual check of the metal surface can reveal the signs of corrosive attack, the most
obvious of which is a corrosive deposit. Corrosion deposits of aluminum or magnesium
are generally a white or grayish-white powder, while the color of ferrous compounds varies
from red to dark reddish-brown.
1
The indications of corrosive attack are small localized discoloration of the metal
surface. Surfaces protected by paint or plating may only exhibit indications of more
advanced corrosive attack by the presence of blisters or bulges in the protective lm.
Bulges in lap joints are indications of corrosive buildup which is well advanced.
2
In may cases, because the inspection area is obscured by structural members,
equipment installations, or for other reasons, it is awkward to check visually. In such
cases, mirrors, boroscopes, or like devices must be used to inspect the obscured
areas. Any means which allows a thorough inspection can be used. Magnifying
glasses are valuable aids for determining whether or not all corrosion products have
been removed during cleanup operations.
(2)
Liquid Dye Penetrant Inspection.
(a)
Inspection for large stress-corrosion or corrosion fatigue cracks on nonporous or
nonferrous metals may be accomplished using dye penetrant processes. The dye applied
to a clean metallic surface will enter small openings or cracks by capillary action. After
the dye has an opportunity to be absorbed by any surface discontinuities, the excess dye
is removed and a developer is applied to the surface. The developer acts like a blotter to
draw the dye from cracks or ssures back to the surface, giving visible indication of any
fault that is present on the surface. The magnitude of the fault is indicated by the quantity
of dye brought back to the surface by the developer."
CHAPTER 51 - STANDARD PRACTICES AND STRUCTURES - GENERAL,CORROSION AND CORROSION CONTROL - GENERAL,"5.
Corrosion Damage Limits
A.
Following cleaning and inspection of the corroded area, the actual extent of the damage may be
evaluated using the following general guidelines and sound maintenance judgement.
(1)
Determine the degree of corrosion damage (light, moderate, or severe) with a dial-type depth
gage, if accessibility permits. If the area is inaccessible, clay impressions, or any other means
which will give accurate results, should be used. In the event the corrosion damage is severe
or worse, contact Cessna Propeller Aircraft Product Support, P.O. Box 7706, Wichita, KS 67277
USA, for assistance.
(2)
Light Corrosion.
(a)
Characterized by discoloration or pitting to a depth of approximately 0.001 inch maximum.
(3)
Moderate Corrosion.
(a)
Appears similar to light corrosion except there may be blistering or some evidence of
scaling or aking. Pitting depths may be as deep as 10 percent of the material thickness.
(4)
Severe Corrosion.
(a)
General appearance may be similar to moderate corrosion with severe blistering exfoliation
and scaling or aking.
Pitting depths may be as deep as 15 percent of the material
thickness. This type of damage is normally repaired by complete part replacement, but
patches or other types of repair may be available.
Contact Cessna Propeller Aircraft
Product Support, P.O. Box 7706, Wichita, KS 67277 USA, for assistance."
CHAPTER 51 - STANDARD PRACTICES AND STRUCTURES - GENERAL,CORROSION AND CORROSION CONTROL - GENERAL,"6.
Corrosion Removal
A.
The following methods are provided as an aid in determining the correct method for corrosion removal.
(1)
Standard Methods
(a)
Several standard methods are available for corrosion removal. The method normally used
to remove corrosion are chemical treatments, hand sanding with aluminum oxide or metal
wool that is of similar material to the surface being treated, and mechanical sanding or
bufng with abrasive mats or grinding mats. The method used depends on the metal and
the degree of corrosion. Select appropriate materials from the abrasives chart as illustrated
in Figure 2.
(2)
Aluminum and Aluminum Alloys.
(a)
Most formed aluminum parts and skins of this airplane consist of various gauges of sheet
2024-T3 and 2024-T42 Alclad. Alclad is formed by laminating a thin layer of relatively
pure aluminum, one to ve mils thick, over the higher strength base alloy surface. Since
pure aluminum has relatively greater corrosion resistance than the stronger alloy, it is
imperative the clad surface be maintained intact to the maximum extent possible and to
avoid unnecessary mechanical removal of the protective coating. In addition, aluminum
parts receive a chemical conversion coating and are then epoxy-primed.
1
Clean area to be reworked. Strip paint as required.
2
To determine the extent of corrosion damage refer to Corrosion Damage Limits.
3
Remove light corrosion by light hand sanding.
4
Mechanically remove moderate or severe corrosion by hand scraping with a carbide-
tipped scraper or ne-uted rotary le.
5
Remove residual corrosion by hand sanding. Select appropriate abrasive from Figure"
CHAPTER 51 - STANDARD PRACTICES AND STRUCTURES - GENERAL,CORROSION AND CORROSION CONTROL - GENERAL,"2.
6
Blend into surrounding surface any depressions resulting from rework and surface
nish with 400 grit abrasive paper.
7
Clean reworked area.
8
Determine depth of faired depressions to ensure that rework limits have not been
exceeded.
9
Chemically conversion-coat rework area.
10
Restore original nish (epoxy prime).
(3)
Steel.
(a)
Unlike some other metal oxides, the red oxide of steel (rust) will not protect the underlying
base metal.
The presence of rust actually promotes additional attack by attracting
moisture from the air and acting as a catalyst in causing additional corrosion to take
place. Light red rust on bolt heads, hold-down nuts, and other nonstructural hardware
is generally not dangerous. However, it is indicative of a general lack of maintenance
and possible attack in more critical areas, such as highly stressed steel landing gear
components and ight control surface actuating components. When paint failures occur
or mechanical damage exposes highly stressed steel surfaces to the atmosphere, even
small amounts of rusting are potentially dangerous and must be removed.
The most
practical means of controlling corrosion of steel is the complete removal of the corrosion
products by mechanical means.
Except on highly stressed steel surfaces, the use of
abrasive papers, small power buffers and bufng compounds, and wire brushes are
acceptable for clean up procedures. However, residual rust usually remains in the bottom
of small pits and crevices.
1
Clean area to be reworked.
2
Strip paint as required.
3
Remove all degrees of corrosion from steel parts using a stainless steel hand brush
or hand operated power tool. Alternatively, use dry abrasive blasting process.
4
Remove residual corrosion by hand sanding.
5
After removing all corrosion visible through a magnifying glass, fair depression
resulting from rework and nish with 400-grit abrasive paper.
6
Clean reworked area.
7
Determine depth of rework area to ensure rework limits are not exceeded.
8
Prime using rust-inhibitive primer within one hour of rework.
9
Reapply nish topcoat if required."
CHAPTER 51 - STANDARD PRACTICES AND STRUCTURES - GENERAL,CORROSION AND CORROSION CONTROL - GENERAL,"7.
Control of Corrosion on Landing Gear Springs
A.
General
(1)
The main landing gear springs are made from high strength steel that is shot peened on the
lower surface to increase the fatigue life of the part.
(2)
The shot peened layer is between 0.010 and 0.020 inch thick.
(3)
If the protective layer of paint is chipped, scratched or worn away the steel may corrode (rust).
(a)
If the corrosion pit depth is greater than the thickness of the shot peen layer, the gear spring
fatigue life will be greatly reduced.
(4)
Operation from unimproved surfaces increases the likelihood of damage.
B.
Corrosion removal and repair.
(1)
If damage to the paint nish of the landing gear spring is found, examine the damage area for
signs of corrosion (red rust).
WARNING: High strength steel parts are very susceptible to hydrogen
embrittlement.
Acidic solutions, such as rust removers
and paint strippers have been found to cause hydrogen
embrittlement.
Hydrogen embrittlement is an undetectable,
time delayed process.
Since the process is time delayed,
failure may occur after the part is returned to service.
The
only reliable way to prevent hydrogen embrittlement is not to
use chemical rust removers or paint strippers on landing gear
springs.
(2)
Carefully remove any rust by light sanding.
(a)
The sanding should blend the damage into the surrounding area in an approximate 20:1
ratio.
EXAMPLE:
An 0.005 inch pit must be blended to a 0.10 inch radius or 0.20 inch
diameter.
(b)
Make sure the nal sanding marks are along an inboard to outboard direction, or along the
long dimension of the spring.
(3)
After the sanding is complete, measure the depth of the damage removal.
(a)
Make sure the depth of the damage is not more than 0.010 to 0.012 inch deep and has not
penetrated the shot peen layer.
(4)
If the shot peened layer has been penetrated, the gear spring must be removed and sent to an
approved facility to be re-shotpeened.
(a)
The shotpeen specication is to be Almen intensity of 0.012 to 0.016 using 330 steel shot.
(5)
After the spring is installed, renish any damaged or removed nish paint.
NOTE:
Additional information regarding corrosion control can be found in AC-43-4, Chapter
6, or AC43.13-1B Chapter 6.
C.
Axle bolt hole corrosion.
(1)
Operation of an airplane on skis increases the loads on the lower part of the gear spring because
of the unsymmetrical and twisting loads.
(a)
The increased loads have produced spring fractures that originate from pits in the axle
attach holes.
1
Catastrophic failures have occurred from fatigue cracks as small as 0.003 to 0.010
inch long that originated at pits.
(b)
Although operation on skis causes more loads, the criteria applies to all airplanes.
(2)
There is no acceptable damage depth for pits that develop in the axle bolt holes. If pits or
corrosion is found it must be removed by reaming, subject to the following limitations:
(a)
Remove the minimum material required to clean up the damage.
(b)
Make sure the diameter of the axle attachment holes is 0.383 inches maximum for 3/8 inch
bolts.
(c)
Make sure the diameter of the axle attachment holes is 0.321 inches maximum for 5/16
inch bolts.
(d)
If reaming to the maximum dimension does not remove all signs of corrosion, discard the
landing gear spring.
"
CHAPTER 51 - STANDARD PRACTICES AND STRUCTURES - GENERAL,REPAIR MATERIALS,REPAIR MATERIALS
CHAPTER 51 - STANDARD PRACTICES AND STRUCTURES - GENERAL,REPAIR MATERIALS,"1.
General
A.
This section provides information covering the materials used for repairs."
CHAPTER 51 - STANDARD PRACTICES AND STRUCTURES - GENERAL,REPAIR MATERIALS,"2.
Repair Materials
A.
In general, materials used in the airplane include 2024 and 7075 aluminum alloys. Sheet material
requiring little or no forming will generally be of 2024-T3 clad aluminum. Formed parts, such as ribs,
bulkheads, etc., will be of 2024-T42 clad aluminum. Forgings are of 7075-T73. Materials used in
repairs should be, where possible, of the same material and heat treated to the same temper. The
thickness should be equal to or greater than the material being repaired unless otherwise noted. If
the type of material cannot be readily determined and the forming required is not severe, 2024-T3
may be used generally, since the strength of -T3 is greater than that of -T4 or -T42 (-T4 and -T42 may
be used interchangeably, but they may not be substituted for -T3). When it is necessary to form a
part with a smaller bend radius than the standard bend radius for 2024-T3 or 2024-T4, use 2024-0,
and then heat treat to 2024-T42 after forming. In the event that the original temper was -T3, it may
be necessary to increase the material thickness sufciently to provide strength equivalent to that of
the original part. It is often practical to cut repair pieces from service parts listed in the parts catalog.
Steel sheet material for reinforcement is 4130 steel heat treated to a minimum of 90,000 pounds per
square inch. The rewall is annealed stainless steel sheet."
CHAPTER 51 - STANDARD PRACTICES AND STRUCTURES - GENERAL,REPAIR MATERIALS,"3.
Extrusions and Formed Sections
A.
(Refer to Figure 1.) This section provides information on extrusions and formed sections. It also
provides details of equivalent built up sections for extrusions. Alternative materials are provided for
equivalent sections and formed sections.
B.
Use of equivalent built up sections for extrusions are to be utilized only when the proper extrusions are
not available. They are intended to be cold formed from raw stock in sheet forms that have already
been heat treated to the required condition. But when workability is required, the parts may be formed
from 2024-0 aluminum and then heat treated to the -T42 condition before installation. When forming
the section, care must be taken to ensure that the bend radii and the cross section areas are not
reduced below the minimum shown in the diagrams. In some cases, equivalent sections are not
given because it is impractical to build them from sheet stock.
C.
Illustrated Parts Catalogs do not identify the standard shape from which parts are fabricated. Detailed
measurements of damaged areas are required to determine the standard section from which parts
are fabricated.
"
CHAPTER 51 - STANDARD PRACTICES AND STRUCTURES - GENERAL,FASTENERS,FASTENERS
CHAPTER 51 - STANDARD PRACTICES AND STRUCTURES - GENERAL,FASTENERS,"1.
General
A.
Fasteners used in the airplane are generally solid aluminum rivets, blind rivets, and steel threaded
fasteners. Usage of each is primarily a function of the loads to be carried, accessibility and frequency
of removal. Rivets used in airplane construction are usually fabricated from aluminum alloys. In
special cases, monel, corrosion-resistant steel and mild steel, copper, and iron rivets are used."
CHAPTER 51 - STANDARD PRACTICES AND STRUCTURES - GENERAL,FASTENERS,"2.
Rivets
A.
Standard solid shank MS rivets are those generally used in airplane construction.
They are
fabricated in the following head types:
roundhead, athead, countersunk head, and universal
head. Flathead rivets are generally used in the airplane interior, where head clearance is required.
MS20426 countersunk head rivets are used on the exterior surfaces of the airplane to minimize
turbulent airow. MS20470 universal head rivets are used on the exterior surfaces of the airplane
where strength requirements necessitate a stronger rivet head than that of the countersunk head
rivet. Hi-Shear rivets are special, patented rivets having a high shear strength equivalent to that of
standard NAS bolts. They are used in special cases in locations where high shear loads are present,
such as in spars, wings, and in heavy bulkhead ribs. This rivet consists of a cadmium plated pin of
alloy steel. Some have a collar of aluminum alloy. Some of these rivets can be readily identied by
the presence of the attached collar in place of the formed head on standard rivets. Blind rivets are
used, where strength requirements permit, where one side of the structure is inaccessible, making it
impossible or impractical to drive standard solid shank rivets."
CHAPTER 51 - STANDARD PRACTICES AND STRUCTURES - GENERAL,FASTENERS,"3.
Replacement Of Hi-Shear Rivets
A.
Replacement of Hi-Shear rivets with close tolerance bolts or other commercial fasteners of equivalent
strength properties is permissible.
(1)
The hardware used for the Hi-Shear rivets is determined according to the size of the holes and
the grip lengths required.
(2)
Bolt grip length should be chosen so that no threads remain in the bearing area.
(3)
Holes must not be elongated, and the Hi-Shear substituted must be a smooth, push-t.
B.
Field replacement of main landing gear forgings on bulkheads may be accomplished by using the
following hardware:
(1)
NAS464P, NAS436P, and either: NAS1103 through NAS1120, NAS1303 through NAS623 or
NAS6203 through NAS6220 bolt, and either:
(a)
MS21042 nut and AN960/NAS1149 washers in place of Hi-Shear rivets for forgings with
machined at surfaces around the attachment holes.
(b)
ESNA2935 mating base washer and ESNA RM52LH2935 self-aligning nut with forgings
(with a draft angle of up to a maximum of eight degrees) without machined at surfaces
around the attachment holes."
CHAPTER 51 - STANDARD PRACTICES AND STRUCTURES - GENERAL,FASTENERS,"4.
Substitution Of Rivets
A.
When adapting the typical repairs shown in this manual to suit actual conditions, it may be necessary
to use different fasteners than those originally used. This may be due to non-availability of a particular
fastener, restricted access, or other difculties. When replacing rivets, it is desirable to use rivets
identical to the type of rivet removed. Countersunk head rivets are to be replaced by rivets of the
same type and degree of countersink. When rivet holes become enlarged, deformed, or otherwise
damaged, several options are available.
(1)
The simplest solution is to install a 1/32 inch (0.032 inch) larger size rivet as a replacement. This
solution uses the designed repairability of the structure, and is the quickest repair.
(2)
Repair rivets are available.
(a)
Repair rivets have a shank that is 1/64 inch (0.016 inch) larger diameter than a standard
rivet but have the same size and shape heads.
(b)
NAS1241 repair rivets replace MS20426 rivets if they have the same sufx.
(c)
NAS1242 repair rivets replace MS20470 rivets if they have the same sufx.
(d)
NAS1738, NAS1939 and some NAS9301 through NAS9311 blind rivets also have oversize
shanks.
B.
Replacement shall not be made with rivets of lower strength material.
C.
Hi-Shear Rivets.
(1)
When Hi-Shear rivets are not available, replacement of sizes 3/16 inch or greater rivets shall be
made with bolts of equal or greater strength than the rivet being replaced, and with self-locking
nuts of the same diameter. It is permissible to replace Hi-Shear rivets with Hi-Lok bolts of the
same material, diameter and grip length.
D.
Blind Rivets.
(1)
Blind rivets have higher deection rates in shear than standard solid rivets, are more susceptible
to fatigue failure and are not as strong as solid rivets in thin sheets. For this reason, it is not
advisable to replace any considerable number of solid rivets in a given joint by blind rivets,
because this may result in overstressing the remaining solid rivets. The hollow blind rivet shall
not be used. The blind rivet shall be of the same or greater strength than the rivet it replaces. In
cases of dimpled assemblies (the process of forming the metal around a hole to form a conical
indentation to receive the tapered head of a ush rivet or a screw), the rivet holes shall be
drilled after the sheets are dimpled. When possible, the exposed end of each clipped plug
shall be coated with epoxy primer. Blind rivets shall not be used in fuel bay areas except in
cases of absolute necessity, and must be sealed. If blind fasteners other than blind rivets are
encountered, it is recommended that replacements be made with identical fasteners.
E.
For a list of approved solid shank and Hi-Shear rivet substitutions, refer to Tables 1 and 2."
CHAPTER 51 - STANDARD PRACTICES AND STRUCTURES - GENERAL,FASTENERS,"5.
Rivet Diameters
A.
Rivet diameters range from 3/32 inch to 3/8 inch. Sizes of 1/8 inch, 5/32 inch, and 3/16 inch are
most frequently used.
Since smaller diameter rivets lack proper structural qualities and larger
diameter rivets dangerously reduce the splice or patch area, extreme care should be exercised
before substituting other than the specied sizes of rivet diameter."
